row,sentence,tagged_tokens_GT,tagged_tokens_GT_corrected
0,Java < -> Javascript for non-Applets ?,"[('Java', '^'), ('<', 'G'), ('->', 'G'), ('Javascript', '^'), ('for', 'P'), ('non-Applets', '^'), ('?', ',')]","[('Java', '^'), ('<', 'G'), ('->', 'G'), ('Javascript', '^'), ('for', 'P'), ('non-Applets', '^'), ('?', ',')]"
1,"I'm working with an existing Java codebase which , while it can be invoked from an HTML page using an APPLET tag , does not actually subclass the Applet class . The same jars are also used in a non-browser context , so they did not subclass Applet . Now I need to communicate some values from Java back to the Javascript of the invoking page . Normally one would do this using JSObject , but so far as I can one has to use JSObject.getWindow which only works for subclasses of Applet . Is there either : a way to use JSObject from something which isn't an Applet subclass ? some other mechanism to communicate back to the Javascript of the invoking page ?","[(""I'm"", 'L'), ('working', 'V'), ('with', 'P'), ('an', 'D'), ('existing', 'V'), ('Java', '^'), ('codebase', 'P'), ('which', 'D'), (',', ','), ('while', 'P'), ('it', 'O'), ('can', 'V'), ('be', 'V'), ('invoked', 'V'), ('from', 'P'), ('an', 'D'), ('HTML', '^'), ('page', 'N'), ('using', 'V'), ('an', 'D'), ('APPLET', '^'), ('tag', 'N'), (',', ','), ('does', 'V'), ('not', 'R'), ('actually', 'R'), ('subclass', 'P'), ('the', 'D'), ('Applet', 'N'), ('class', 'N'), ('.', ','), ('The', 'D'), ('same', 'A'), ('jars', '^'), ('are', 'V'), ('also', 'R'), ('used', 'V'), ('in', 'P'), ('a', 'D'), ('non-browser', 'A'), ('context', 'N'), (',', ','), ('so', 'P'), ('they', 'O'), ('did', 'V'), ('not', 'R'), ('subclass', 'A'), ('Applet', '^'), ('.', ','), ('Now', 'R'), ('I', 'O'), ('need', 'V'), ('to', 'P'), ('communicate', 'V'), ('some', 'D'), ('values', 'N'), ('from', 'P'), ('Java', '^'), ('back', 'N'), ('to', 'P'), ('the', 'D'), ('Javascript', '^'), ('of', 'P'), ('the', 'D'), ('invoking', 'V'), ('page', 'N'), ('.', ','), ('Normally', 'R'), ('one', 'O'), ('would', 'V'), ('do', 'V'), ('this', 'D'), ('using', 'V'), ('JSObject', '^'), (',', ','), ('but', '&'), ('so', 'R'), ('far', 'R'), ('as', 'P'), ('I', 'O'), ('can', 'V'), ('one', 'O'), ('has', 'V'), ('to', 'P'), ('use', 'V'), ('JSObject.getWindow', '^'), ('which', 'D'), ('only', 'A'), ('works', 'V'), ('for', 'P'), ('subclasses', 'V'), ('of', 'P'), ('Applet', '^'), ('.', ','), ('Is', 'V'), ('there', 'R'), ('either', 'R'), (':', ','), ('a', 'D'), ('way', 'N'), ('to', 'P'), ('use', 'V'), ('JSObject', '^'), ('from', 'P'), ('something', 'N'), ('which', 'O'), (""isn't"", 'V'), ('an', 'D'), ('Applet', '^'), ('subclass', 'N'), ('?', ','), ('some', 'D'), ('other', 'A'), ('mechanism', 'N'), ('to', 'P'), ('communicate', 'V'), ('back', 'R'), ('to', 'P'), ('the', 'D'), ('Javascript', '^'), ('of', 'P'), ('the', 'D'), ('invoking', 'V'), ('page', 'N'), ('?', ',')]","[(""I'm"", 'L'), ('working', 'V'), ('with', 'P'), ('an', 'D'), ('existing', 'V'), ('Java', '^'), ('codebase', 'P'), ('which', 'D'), (',', ','), ('while', 'P'), ('it', 'O'), ('can', 'V'), ('be', 'V'), ('invoked', 'V'), ('from', 'P'), ('an', 'D'), ('HTML', '^'), ('page', 'N'), ('using', 'V'), ('an', 'D'), ('APPLET', '^'), ('tag', 'N'), (',', ','), ('does', 'V'), ('not', 'R'), ('actually', 'R'), ('subclass', 'P'), ('the', 'D'), ('Applet', 'N'), ('class', 'N'), ('.', ','), ('The', 'D'), ('same', 'A'), ('jars', '^'), ('are', 'V'), ('also', 'R'), ('used', 'V'), ('in', 'P'), ('a', 'D'), ('non-browser', 'A'), ('context', 'N'), (',', ','), ('so', 'P'), ('they', 'O'), ('did', 'V'), ('not', 'R'), ('subclass', 'A'), ('Applet', '^'), ('.', ','), ('Now', 'R'), ('I', 'O'), ('need', 'V'), ('to', 'P'), ('communicate', 'V'), ('some', 'D'), ('values', 'N'), ('from', 'P'), ('Java', '^'), ('back', 'N'), ('to', 'P'), ('the', 'D'), ('Javascript', '^'), ('of', 'P'), ('the', 'D'), ('invoking', 'V'), ('page', 'N'), ('.', ','), ('Normally', 'R'), ('one', 'O'), ('would', 'V'), ('do', 'V'), ('this', 'D'), ('using', 'V'), ('JSObject', '^'), (',', ','), ('but', '&'), ('so', 'R'), ('far', 'R'), ('as', 'P'), ('I', 'O'), ('can', 'V'), ('one', 'O'), ('has', 'V'), ('to', 'P'), ('use', 'V'), ('JSObject.getWindow', '^'), ('which', 'D'), ('only', 'A'), ('works', 'V'), ('for', 'P'), ('subclasses', 'V'), ('of', 'P'), ('Applet', '^'), ('.', ','), ('Is', 'V'), ('there', 'R'), ('either', 'R'), (':', ','), ('a', 'D'), ('way', 'N'), ('to', 'P'), ('use', 'V'), ('JSObject', '^'), ('from', 'P'), ('something', 'N'), ('which', 'O'), (""isn't"", 'V'), ('an', 'D'), ('Applet', '^'), ('subclass', 'N'), ('?', ','), ('some', 'D'), ('other', 'A'), ('mechanism', 'N'), ('to', 'P'), ('communicate', 'V'), ('back', 'R'), ('to', 'P'), ('the', 'D'), ('Javascript', '^'), ('of', 'P'), ('the', 'D'), ('invoking', 'V'), ('page', 'N'), ('?', ',')]"
2,Call JSObject.getWindow ( this ) in the applet . Then pass the JSObject into the code that needs it in the usual fashion .,"[('Call', 'V'), ('JSObject.getWindow', '^'), ('(', ','), ('this', 'D'), (')', ','), ('in', 'P'), ('the', 'D'), ('applet', '^'), ('.', ','), ('Then', 'R'), ('pass', 'V'), ('the', 'D'), ('JSObject', '^'), ('into', 'P'), ('the', 'D'), ('code', 'N'), ('that', 'P'), ('needs', 'V'), ('it', 'O'), ('in', 'P'), ('the', 'D'), ('usual', 'A'), ('fashion', 'N'), ('.', ',')]","[('Call', 'V'), ('JSObject.getWindow', '^'), ('(', ','), ('this', 'D'), (')', ','), ('in', 'P'), ('the', 'D'), ('applet', '^'), ('.', ','), ('Then', 'R'), ('pass', 'V'), ('the', 'D'), ('JSObject', '^'), ('into', 'P'), ('the', 'D'), ('code', 'N'), ('that', 'P'), ('needs', 'V'), ('it', 'O'), ('in', 'P'), ('the', 'D'), ('usual', 'A'), ('fashion', 'N'), ('.', ',')]"
3,I think you're actually going to need to implement an applet in a jar file to handle the communication between your code and the browser itself . Perhaps just use the non-applet jar as a class lib and make the applet jar a simple wrapper that proxies your calls between the browser and the Java code .,"[('I', 'O'), ('think', 'V'), (""you're"", 'L'), ('actually', 'R'), ('going', 'V'), ('to', 'P'), ('need', 'V'), ('to', 'P'), ('implement', 'V'), ('an', 'D'), ('applet', 'N'), ('in', 'P'), ('a', 'D'), ('jar', '^'), ('file', 'V'), ('to', 'P'), ('handle', 'V'), ('the', 'D'), ('communication', 'N'), ('between', 'P'), ('your', 'D'), ('code', 'N'), ('and', '&'), ('the', 'D'), ('browser', 'N'), ('itself', 'O'), ('.', ','), ('Perhaps', 'R'), ('just', 'R'), ('use', 'V'), ('the', 'D'), ('non-applet', '^'), ('jar', '^'), ('as', 'P'), ('a', 'D'), ('class', 'N'), ('lib', 'N'), ('and', '&'), ('make', 'V'), ('the', 'D'), ('applet', 'N'), ('jar', '^'), ('a', 'D'), ('simple', 'A'), ('wrapper', 'N'), ('that', 'D'), ('proxies', 'N'), ('your', 'D'), ('calls', 'V'), ('between', 'P'), ('the', 'D'), ('browser', 'N'), ('and', '&'), ('the', 'D'), ('Java', '^'), ('code', 'N'), ('.', ',')]","[('I', 'O'), ('think', 'V'), (""you're"", 'L'), ('actually', 'R'), ('going', 'V'), ('to', 'P'), ('need', 'V'), ('to', 'P'), ('implement', 'V'), ('an', 'D'), ('applet', 'N'), ('in', 'P'), ('a', 'D'), ('jar', '^'), ('file', 'V'), ('to', 'P'), ('handle', 'V'), ('the', 'D'), ('communication', 'N'), ('between', 'P'), ('your', 'D'), ('code', 'N'), ('and', '&'), ('the', 'D'), ('browser', 'N'), ('itself', 'O'), ('.', ','), ('Perhaps', 'R'), ('just', 'R'), ('use', 'V'), ('the', 'D'), ('non-applet', '^'), ('jar', '^'), ('as', 'P'), ('a', 'D'), ('class', 'N'), ('lib', 'N'), ('and', '&'), ('make', 'V'), ('the', 'D'), ('applet', 'N'), ('jar', '^'), ('a', 'D'), ('simple', 'A'), ('wrapper', 'N'), ('that', 'D'), ('proxies', 'N'), ('your', 'D'), ('calls', 'V'), ('between', 'P'), ('the', 'D'), ('browser', 'N'), ('and', '&'), ('the', 'D'), ('Java', '^'), ('code', 'N'), ('.', ',')]"
4,"What's wrong with returning a value ? From Javascript You can access the Java-object by using getElementById ( "" id-of-embed-tag "") . Then you can invoke any public method on that object . The Java object returned by that method will be available to your Javascript code .","[(""What's"", 'L'), ('wrong', 'A'), ('with', 'P'), ('returning', 'V'), ('a', 'D'), ('value', 'N'), ('?', ','), ('From', 'P'), ('Javascript', '^'), ('You', 'O'), ('can', 'V'), ('access', 'V'), ('the', 'D'), ('Java-object', '^'), ('by', 'P'), ('using', 'V'), ('getElementById', '^'), ('(', ','), ('""', ','), ('id-of-embed-tag', 'C'), ('"")', 'G'), ('.', ','), ('Then', 'R'), ('you', 'O'), ('can', 'V'), ('invoke', 'V'), ('any', 'D'), ('public', 'A'), ('method', 'N'), ('on', 'P'), ('that', 'D'), ('object', 'N'), ('.', ','), ('The', 'D'), ('Java', '^'), ('object', 'N'), ('returned', 'V'), ('by', 'P'), ('that', 'D'), ('method', 'N'), ('will', 'V'), ('be', 'V'), ('available', 'A'), ('to', 'P'), ('your', 'D'), ('Javascript', '^'), ('code', 'N'), ('.', ',')]","[(""What's"", 'L'), ('wrong', 'A'), ('with', 'P'), ('returning', 'V'), ('a', 'D'), ('value', 'N'), ('?', ','), ('From', 'P'), ('Javascript', '^'), ('You', 'O'), ('can', 'V'), ('access', 'V'), ('the', 'D'), ('Java-object', '^'), ('by', 'P'), ('using', 'V'), ('getElementById', '^'), ('(', ','), ('""', ','), ('id-of-embed-tag', 'C'), ('"")', 'G'), ('.', ','), ('Then', 'R'), ('you', 'O'), ('can', 'V'), ('invoke', 'V'), ('any', 'D'), ('public', 'A'), ('method', 'N'), ('on', 'P'), ('that', 'D'), ('object', 'N'), ('.', ','), ('The', 'D'), ('Java', '^'), ('object', 'N'), ('returned', 'V'), ('by', 'P'), ('that', 'D'), ('method', 'N'), ('will', 'V'), ('be', 'V'), ('available', 'A'), ('to', 'P'), ('your', 'D'), ('Javascript', '^'), ('code', 'N'), ('.', ',')]"
5,"Thats an approach I had not considered . I'd end up polling from the Javascript until something changes , but that might work .","[('Thats', 'L'), ('an', 'D'), ('approach', 'V'), ('I', 'O'), ('had', 'V'), ('not', 'R'), ('considered', 'V'), ('.', ','), (""I'd"", 'L'), ('end', 'N'), ('up', 'T'), ('polling', 'V'), ('from', 'P'), ('the', 'D'), ('Javascript', '^'), ('until', 'P'), ('something', 'N'), ('changes', 'N'), (',', ','), ('but', '&'), ('that', 'O'), ('might', 'V'), ('work', 'N'), ('.', ',')]","[('Thats', 'L'), ('an', 'D'), ('approach', 'V'), ('I', 'O'), ('had', 'V'), ('not', 'R'), ('considered', 'V'), ('.', ','), (""I'd"", 'L'), ('end', 'N'), ('up', 'T'), ('polling', 'V'), ('from', 'P'), ('the', 'D'), ('Javascript', '^'), ('until', 'P'), ('something', 'N'), ('changes', 'N'), (',', ','), ('but', '&'), ('that', 'O'), ('might', 'V'), ('work', 'N'), ('.', ',')]"
6,URL decoding in Javascript,"[('URL', '^'), ('decoding', 'V'), ('in', 'P'), ('Javascript', '^')]","[('URL', '^'), ('decoding', 'V'), ('in', 'P'), ('Javascript', '^')]"
7,"I want to decode a string that has been encoded using the java.net.URLEncoder.encode() method . I tried using the unescape() function in javascript , but a problem occurs for blank spaces because java.net.URLEncoder.encode() converts a blank space to ' + ' but unescape() won't convert ' + ' to a blank space .","[('I', 'O'), ('want', 'V'), ('to', 'P'), ('decode', 'V'), ('a', 'D'), ('string', 'N'), ('that', 'O'), ('has', 'V'), ('been', 'V'), ('encoded', 'V'), ('using', 'V'), ('the', 'D'), ('java.net.URLEncoder.encode()', '^'), ('method', 'N'), ('.', ','), ('I', 'O'), ('tried', 'V'), ('using', 'V'), ('the', 'D'), ('unescape()', '^'), ('function', 'N'), ('in', 'P'), ('javascript', '^'), (',', ','), ('but', '&'), ('a', 'D'), ('problem', 'N'), ('occurs', 'V'), ('for', 'P'), ('blank', 'N'), ('spaces', 'N'), ('because', 'P'), ('java.net.URLEncoder.encode()', '^'), ('converts', 'V'), ('a', 'D'), ('blank', 'N'), ('space', 'N'), ('to', 'P'), (""'"", ','), ('+', 'G'), (""'"", ','), ('but', '&'), ('unescape()', '^'), (""won't"", 'V'), ('convert', 'V'), (""'"", ','), ('+', 'G'), (""'"", ','), ('to', 'P'), ('a', 'D'), ('blank', 'N'), ('space', 'N'), ('.', ',')]","[('I', 'O'), ('want', 'V'), ('to', 'P'), ('decode', 'V'), ('a', 'D'), ('string', 'N'), ('that', 'O'), ('has', 'V'), ('been', 'V'), ('encoded', 'V'), ('using', 'V'), ('the', 'D'), ('java.net.URLEncoder.encode()', '^'), ('method', 'N'), ('.', ','), ('I', 'O'), ('tried', 'V'), ('using', 'V'), ('the', 'D'), ('unescape()', '^'), ('function', 'N'), ('in', 'P'), ('javascript', '^'), (',', ','), ('but', '&'), ('a', 'D'), ('problem', 'N'), ('occurs', 'V'), ('for', 'P'), ('blank', 'N'), ('spaces', 'N'), ('because', 'P'), ('java.net.URLEncoder.encode()', '^'), ('converts', 'V'), ('a', 'D'), ('blank', 'N'), ('space', 'N'), ('to', 'P'), (""'"", ','), ('+', 'G'), (""'"", ','), ('but', '&'), ('unescape()', '^'), (""won't"", 'V'), ('convert', 'V'), (""'"", ','), ('+', 'G'), (""'"", ','), ('to', 'P'), ('a', 'D'), ('blank', 'N'), ('space', 'N'), ('.', ',')]"
8,"Try decodeURI ( """") or decodeURIComponent ( """") ! - )","[('Try', 'V'), ('decodeURI', '^'), ('(', 'G'), ('"""")', 'G'), ('or', '&'), ('decodeURIComponent', '^'), ('(', ','), ('"""")', ','), ('!', ','), ('-', 'G'), (')', 'G')]","[('Try', 'V'), ('decodeURI', '^'), ('(', 'G'), ('"""")', 'G'), ('or', '&'), ('decodeURIComponent', '^'), ('(', ','), ('"""")', ','), ('!', ','), ('-', 'G'), (')', 'G')]"
9,Just because it takes a string as argument ! - ),"[('Just', 'R'), ('because', 'P'), ('it', 'O'), ('takes', 'V'), ('a', 'D'), ('string', 'N'), ('as', 'P'), ('argument', 'N'), ('!', ','), ('-', 'E'), (')', 'E')]","[('Just', 'R'), ('because', 'P'), ('it', 'O'), ('takes', 'V'), ('a', 'D'), ('string', 'N'), ('as', 'P'), ('argument', 'N'), ('!', ','), ('-', 'E'), (')', 'E')]"
